구분,자동차용경유
2020년09월26일,1145.54
2020년09월27일,1145.23
2020년09월28일,1144.85
2020년09월29일,1143.56
2020년09월30일,1142.93
2020년10월01일,1142.56
2020년10월02일,1142.29
2020년10월03일,1141.54
2020년10월04일,1141.05
2020년10월05일,1140.22
2020년10월06일,1139.04
2020년10월07일,1138.27
2020년10월08일,1137.52
2020년10월09일,1136.94
2020년10월10일,1136.56
2020년10월11일,1136.39
2020년10월12일,1136.01
2020년10월13일,1135.40
2020년10월14일,1134.85
2020년10월15일,1134.34
2020년10월16일,1133.73
2020년10월17일,1133.24
2020년10월18일,1133.01
2020년10월19일,1132.58
2020년10월20일,1132.01
2020년10월21일,1131.32
2020년10월22일,1130.66
2020년10월23일,1130.17
2020년10월24일,1129.77
2020년10월25일,1129.46
2020년10월26일,1129.11
2020년10월27일,1128.47
2020년10월28일,1127.78
2020년10월29일,1127.10
2020년10월30일,1126.21
2020년10월31일,1125.45
2020년11월01일,1124.51
2020년11월02일,1123.70
2020년11월03일,1122.34
2020년11월04일,1121.22
2020년11월05일,1120.47
2020년11월06일,1119.96
2020년11월07일,1119.36
2020년11월08일,1119.02
2020년11월09일,1118.69
2020년11월10일,1118.16
2020년11월11일,1117.80
2020년11월12일,1117.58
2020년11월13일,1117.64
2020년11월14일,1117.53
2020년11월15일,1117.34
2020년11월16일,1117.44
2020년11월17일,1117.29
2020년11월18일,1116.97
2020년11월19일,1117.18
2020년11월20일,1117.46
2020년11월21일,1117.75
2020년11월22일,1117.64
2020년11월23일,1117.97
2020년11월24일,1118.33
2020년11월25일,1118.97
2020년11월26일,1120.47
2020년11월27일,1122.42
2020년11월28일,1123.53
2020년11월29일,1124.08
2020년11월30일,1125.19
2020년12월01일,1127.51
2020년12월02일,1128.81
2020년12월03일,1130.30
2020년12월04일,1132.17
2020년12월05일,1134.35
2020년12월06일,1135.33
